Магазин,Ссылка на магазин,Год основания,Продажи
SHULGAstudio,https://www.etsy.com/shop/SHULGAstudio,2016,"1,747"
LudaMelnick,https://www.etsy.com/shop/LudaMelnick,2015,"5,201"
GoodMoodMoon,https://www.etsy.com/shop/GoodMoodMoon,2014,"7,144"
13DaisyChains,https://www.etsy.com/shop/13DaisyChains,2015,"8,269"
OakandBlossom,https://www.etsy.com/shop/OakandBlossom,2014,"9,989"
PepperAlley,https://www.etsy.com/shop/PepperAlley,2014,126
YickeNL,https://www.etsy.com/shop/YickeNL,2017,116
ShibaKnits,https://www.etsy.com/shop/ShibaKnits,2017,420
SisterPlusSister,https://www.etsy.com/shop/SisterPlusSister,2016,"4,297"
NomadicChicken,https://www.etsy.com/shop/NomadicChicken,2016,448
HollandHartDesigns,https://www.etsy.com/shop/HollandHartDesigns,2016,"10,907"
MeSaleBordado,https://www.etsy.com/shop/MeSaleBordado,2014,566
sandandwill,https://www.etsy.com/shop/sandandwill,2013,"1,538"
VioletteAndRose,https://www.etsy.com/shop/VioletteAndRose,2011,670
agabag,https://www.etsy.com/shop/agabag,,0
TheCrystalShoeCo,https://www.etsy.com/shop/TheCrystalShoeCo,2012,"1,754"
MartenLab,https://www.etsy.com/shop/MartenLab,2013,293
ChumphonDesign,https://www.etsy.com/shop/ChumphonDesign,,0
InfinityPurse,https://www.etsy.com/shop/InfinityPurse,,0
PetitDunnocks,https://www.etsy.com/shop/PetitDunnocks,2015,"1,621"
FoxyFawnzy,https://www.etsy.com/shop/FoxyFawnzy,2009,446
BagNoir,https://www.etsy.com/shop/BagNoir,2010,"1,788"
ConstanceHandcrafted,https://www.etsy.com/shop/ConstanceHandcrafted,2013,"6,503"
TOMBASANA,https://www.etsy.com/shop/TOMBASANA,,0
beautifulvintage75,https://www.etsy.com/shop/beautifulvintage75,,0
NASHANDDUFF,https://www.etsy.com/shop/NASHANDDUFF,2014,"3,819"
ZoesBagBoutique,https://www.etsy.com/shop/ZoesBagBoutique,2007,"12,471"
ClutchHitz,https://www.etsy.com/shop/ClutchHitz,2015,796
